antecedents,consequents,support,confidence,lift
frozenset({'NumWebPurchases_High'}),frozenset({'Income_Med'}),0.12142857142857143,0.43312101910828027,1.3005242396816996
frozenset({'Income_Med'}),frozenset({'Recency_High'}),0.11383928571428571,0.3418230563002681,1.0263855846013412
frozenset({'Recency_High'}),frozenset({'Income_Med'}),0.11383928571428571,0.3418230563002681,1.0263855846013412
frozenset({'Income_Med'}),frozenset({'Recency_Low'}),0.11383928571428571,0.3418230563002681,1.0035172295053743
frozenset({'Recency_Low'}),frozenset({'Income_Med'}),0.11383928571428571,0.33420707732634336,1.0035172295053743
frozenset({'Income_Med'}),frozenset({'Total_Spent_Med'}),0.20848214285714287,0.626005361930295,1.8822174640588736
frozenset({'Total_Spent_Med'}),frozenset({'Income_Med'}),0.20848214285714287,0.6268456375838927,1.8822174640588736
frozenset({'NumWebPurchases_High'}),frozenset({'Recency_Low'}),0.096875,0.34554140127388533,1.0144334716297552
frozenset({'Recency_Low'}),frozenset({'NumWebPurchases_High'}),0.096875,0.28440366972477066,1.0144334716297552
frozenset({'NumWebPurchases_High'}),frozenset({'Recency_Med'}),0.09776785714285714,0.3487261146496815,1.0685998588444412
frozenset({'Recency_Med'}),frozenset({'NumWebPurchases_High'}),0.09776785714285714,0.29958960328317374,1.0685998588444414
frozenset({'Total_Spent_High'}),frozenset({'NumWebPurchases_High'}),0.15714285714285714,0.4712182061579652,1.6807783149583473
frozenset({'NumWebPurchases_High'}),frozenset({'Total_Spent_High'}),0.15714285714285714,0.5605095541401274,1.6807783149583473
frozenset({'NumWebPurchases_High'}),frozenset({'Total_Spent_Med'}),0.12321428571428572,0.4394904458598726,1.3214209378874022
frozenset({'Total_Spent_Med'}),frozenset({'NumWebPurchases_High'}),0.12321428571428572,0.3704697986577182,1.3214209378874024
frozenset({'NumWebPurchases_Low'}),frozenset({'Recency_High'}),0.11964285714285715,0.3453608247422681,1.037008374561234
frozenset({'Recency_High'}),frozenset({'NumWebPurchases_Low'}),0.11964285714285715,0.35924932975871315,1.037008374561234
frozenset({'NumWebPurchases_Low'}),frozenset({'Total_Spent_Low'}),0.2857142857142857,0.8247422680412371,2.4698164176635977
frozenset({'Total_Spent_Low'}),frozenset({'NumWebPurchases_Low'}),0.2857142857142857,0.8556149732620321,2.4698164176635977
frozenset({'Recency_High'}),frozenset({'NumWebPurchases_Med'}),0.12767857142857142,0.38337801608579086,1.0272329617609708
frozenset({'NumWebPurchases_Med'}),frozenset({'Recency_High'}),0.12767857142857142,0.3421052631578947,1.0272329617609708
frozenset({'Recency_Low'}),frozenset({'NumWebPurchases_Med'}),0.12723214285714285,0.3735255570117955,1.0008340283569641
frozenset({'NumWebPurchases_Med'}),frozenset({'Recency_Low'}),0.12723214285714285,0.3409090909090909,1.0008340283569641
frozenset({'Total_Spent_High'}),frozenset({'NumWebPurchases_Med'}),0.1513392857142857,0.4538152610441767,1.2159643358121481
frozenset({'NumWebPurchases_Med'}),frozenset({'Total_Spent_High'}),0.1513392857142857,0.4055023923444976,1.2159643358121481
frozenset({'Total_Spent_Med'}),frozenset({'NumWebPurchases_Med'}),0.17366071428571428,0.5221476510067115,1.3990559070036288
frozenset({'NumWebPurchases_Med'}),frozenset({'Total_Spent_Med'}),0.17366071428571428,0.46531100478468895,1.3990559070036286
frozenset({'Total_Spent_High'}),frozenset({'Recency_High'}),0.11428571428571428,0.3427041499330656,1.029031227681055
frozenset({'Recency_High'}),frozenset({'Total_Spent_High'}),0.11428571428571428,0.34316353887399464,1.029031227681055
